MASV,HOTEN,PHAI,NGSINH,DCHI,DT,KHOA,TINHTRANG
"20A126102","Lê Ngọc Dũng","1","2005-09-13","Q.3, TP.HCM","0709788629","VATLY","Bảo lưu kết quả học tập"
"20A452616","Hoàng Gia Khánh","0","2000-05-12","TP. Vũng Tàu","0121803248","VATLY","Bảo lưu kết quả học tập"
"20A688411","Phan Anh Hà","1","2004-06-15","TP. Thủ Đức","0793519947","SINH","Đã tốt nghiệp"
"20A996000","Bùi Hữu Hà","0","2005-09-13","TP. Đà Nẵng","0289597211","KHKT","Đang học"
"20A746642","Trần Văn Hương","0","2006-12-23","Q.3, TP.HCM","0953203146","SINH","Đã tốt nghiệp"
"20A350276","Hoàng Ngọc Nam","1","2006-09-27","TP. Biên Hòa","0996151818","VATLY","Đang học"
"20A193373","Phan Gia Châu","1","2002-12-27","Q.10, TP.HCM","0839459822","KHKT","Bảo lưu kết quả học tập"
"20A304840","Lê Gia An","1","2006-02-14","TP. Cần Thơ","0513668990","VATLY","Đã thôi học"
"20A662618","Vũ Văn Linh","0","2002-04-11","Q.5, TP.HCM","0349026929","HOA","Bảo lưu kết quả học tập"
"20A962787","Bùi Anh Hà","0","2005-05-17","Q.3, TP.HCM","0376161550","KHKT","Đã tốt nghiệp"
"20A858099","Bùi Gia Linh","1","2003-09-13","TP. Hà Nội","0504506043","TOAN","Đang học"
"20A879801","Bùi Thị Tú","0","2005-01-31","Q.3, TP.HCM","0341319572","TOAN","Đã thôi học"
"20A320934","Trần Ngọc Nam","1","2006-05-27","Q.3, TP.HCM","0711260367","VATLY","Đang học"
"20A944169","Đặng Thị Phúc","0","2001-03-15","Q.1, TP.HCM","0725164468","VATLY","Bảo lưu kết quả học tập"
"20A720196","Lê Văn Châu","0","2005-09-26","TP. Cần Thơ","0830556367","VATLY","Đang học"
"20A273588","Phan Minh Tú","1","2002-05-04","TP. Cần Thơ","0879000782","SINH","Bảo lưu kết quả học tập"
"20A171291","Hoàng Gia Hương","0","2006-01-25","Q.10, TP.HCM","0235010462","KHKT","Đang học"
"20A428312","Trần Gia Dũng","0","2005-12-05","TP. Thủ Đức","0378096457","HOA","Đã thôi học"
"20A661922","Lê Thị Phúc","1","2003-06-21","TP. Hà Nội","0102926227","HOA","Đã thôi học"
"20A736173","Phạm Thị Nam","1","2004-07-03","Q.10, TP.HCM","0853049419","HOA","Đang học"
"20A712542","Đặng Ngọc Khánh","0","2002-09-26","Q.5, TP.HCM","0654905654","VATLY","Bảo lưu kết quả học tập"
"20A957253","Đặng Hữu Dũng","1","2002-08-07","TP. Cần Thơ","0644592133","KHKT","Đã tốt nghiệp"
"20A313462","Trần Gia Quân","0","2001-07-13","TP. Đà Nẵng","0708379025","HOA","Đã thôi học"
"20A658238","Vũ Anh Linh","0","2000-09-08","TP. Đà Nẵng","0158617967","CNTT","Đã tốt nghiệp"
"20A462200","Đặng Anh Hà","0","2002-02-08","Q.10, TP.HCM","0891228357","HOA","Đang học"
"20A311347","Phạm Ngọc Linh","0","2004-02-26","TP. Biên Hòa","0232842358","TOAN","Bảo lưu kết quả học tập"
"20A708662","Nguyễn Gia Nam","1","2006-11-10","TP. Đà Nẵng","0245402686","TOAN","Đã thôi học"
"20A803408","Nguyễn Minh Tú","1","2004-10-11","Q.3, TP.HCM","0570982778","VATLY","Đang học"
"20A969025","Bùi Hữu Bình","1","2004-11-08","TP. Biên Hòa","0971369851","VATLY","Đã tốt nghiệp"
"20A480598","Bùi Anh Hương","0","2004-01-11","TP. Thủ Đức","0923710655","TOAN","Đã thôi học"
"20A344064","Lê Hữu Nam","1","2002-03-22","TP. Biên Hòa","0813495764","TOAN","Đã thôi học"
"20A106475","Nguyễn Văn An","0","2003-04-14","TP. Đà Nẵng","0667827373","KHKT","Đang học"
"20A754483","Phan Anh Bình","1","2005-04-05","Q.3, TP.HCM","0239400023","SINH","Đang học"
"20A251602","Hoàng Thị Nam","0","2004-03-04","Q.3, TP.HCM","0366937454","VATLY","Bảo lưu kết quả học tập"
"20A701535","Đặng Hữu Linh","1","2005-10-22","TP. Biên Hòa","0547612259","VATLY","Đang học"
"20A560593","Hoàng Minh Dũng","1","2003-03-28","Q.1, TP.HCM","0366277813","CNTT","Đã tốt nghiệp"
"20A889566","Vũ Ngọc Dũng","0","2005-03-19","TP. Cần Thơ","0639585658","SINH","Đang học"
"20A709942","Bùi Gia An","1","2004-10-14","TP. Thủ Đức","0727466310","HOA","Đã thôi học"
"20A270967","Vũ Thị Nam","1","2001-07-12","Q.1, TP.HCM","0445466817","HOA","Đang học"
"20A679370","Phan Gia Nam","0","2004-01-13","TP. Cần Thơ","0507169609","SINH","Đã thôi học"
"20A283132","Bùi Hữu Khánh","0","2004-10-03","Q.3, TP.HCM","0983330661","TOAN","Đã tốt nghiệp"
"20A957106","Bùi Thị Châu","1","2006-07-26","TP. Đà Nẵng","0234114059","TOAN","Đang học"
"20A291530","Hoàng Ngọc Vy","0","2004-10-29","TP. Cần Thơ","0789137283","KHKT","Bảo lưu kết quả học tập"
"20A607392","Vũ Hữu Vy","0","2001-06-17","Q.3, TP.HCM","0709814965","HOA","Đang học"
"20A603756","Phan Anh Dũng","1","2002-12-21","Q.1, TP.HCM","0222710039","CNTT","Đã thôi học"
"20A129065","Phan Anh Châu","1","2002-10-08","TP. Hà Nội","0207879336","VATLY","Đã tốt nghiệp"
"20A492271","Lê Văn Hà","0","2004-11-14","Q.3, TP.HCM","0259224140","HOA","Đã thôi học"
"20A546018","Đặng Minh Vy","1","2005-09-21","Q.10, TP.HCM","0450361967","KHKT","Đã tốt nghiệp"
"20A319466","Nguyễn Thị Trang","1","2000-08-20","TP. Biên Hòa","0758113087","TOAN","Đang học"
"20A224215","Đặng Gia Trang","1","2000-04-19","Q.1, TP.HCM","0413912442","HOA","Đã thôi học"
"20A355384","Phạm Gia Dũng","1","2001-04-21","TP. Biên Hòa","0766981911","KHKT","Đã tốt nghiệp"
"20A209408","Vũ Ngọc Hà","1","2002-09-11","Q.1, TP.HCM","0880474471","VATLY","Đang học"
"20A501489","Phan Thị Linh","1","2006-03-11","TP. Hà Nội","0188224715","SINH","Bảo lưu kết quả học tập"
"20A776144","Hoàng Hữu An","0","2001-02-13","Q.10, TP.HCM","0271855215","HOA","Đã tốt nghiệp"
"20A664297","Lê Gia Hà","1","2001-06-01","TP. Cần Thơ","0450442661","HOA","Đã tốt nghiệp"
"20A452414","Bùi Anh Linh","0","2005-02-02","Q.1, TP.HCM","0654729138","TOAN","Bảo lưu kết quả học tập"
"20A707874","Lê Thị Linh","1","2001-02-13","TP. Vũng Tàu","0202003141","SINH","Đã tốt nghiệp"
"20A782985","Nguyễn Văn Hương","0","2003-06-18","TP. Biên Hòa","0761558218","HOA","Đã tốt nghiệp"
"20A238247","Nguyễn Gia Dũng","0","2005-12-20","TP. Đà Nẵng","0125944343","HOA","Đã thôi học"
"20A565645","Bùi Văn Khánh","1","2000-06-27","TP. Thủ Đức","0578094473","CNTT","Đã thôi học"
"20A593644","Nguyễn Văn Quân","1","2004-09-16","Q.5, TP.HCM","0826752243","KHKT","Đã tốt nghiệp"
"20A658798","Trần Minh Hương","1","2007-02-14","TP. Biên Hòa","0220176021","VATLY","Bảo lưu kết quả học tập"
"20A728108","Phạm Thị Hà","1","2000-09-08","Q.10, TP.HCM","0977380185","KHKT","Đã thôi học"
"20A768318","Nguyễn Thị Phúc","1","2005-05-24","TP. Hà Nội","0327920377","TOAN","Đã tốt nghiệp"
"20A488686","Đặng Anh Tú","1","2005-04-02","Q.5, TP.HCM","0801811223","VATLY","Đang học"
"20A101132","Nguyễn Văn Hà","0","2001-06-19","Q.3, TP.HCM","0796859633","VATLY","Đã tốt nghiệp"
"20A499847","Bùi Minh Hà","1","2006-06-25","TP. Đà Nẵng","0377687586","CNTT","Đã thôi học"
"20A855679","Vũ Minh Dũng","1","2005-04-24","TP. Đà Nẵng","0159997715","CNTT","Đã thôi học"
"20A172422","Vũ Hữu Nam","1","2007-02-03","Q.1, TP.HCM","0836425350","TOAN","Đã thôi học"
"20A346031","Hoàng Thị An","1","2002-12-06","TP. Hà Nội","0968351787","TOAN","Đang học"
"20A636598","Trần Thị Nam","0","2006-11-20","TP. Biên Hòa","0557181390","CNTT","Đang học"
"20A568746","Bùi Văn Khánh","1","2003-02-12","TP. Cần Thơ","0192370318","VATLY","Đã thôi học"
"20A232316","Phạm Anh Vy","0","2005-11-01","Q.3, TP.HCM","0834359173","TOAN","Bảo lưu kết quả học tập"
"20A332777","Vũ Hữu Châu","1","2000-09-10","Q.5, TP.HCM","0737108251","VATLY","Đang học"
"20A892641","Trần Văn Phúc","1","2004-02-05","TP. Hà Nội","0138352557","HOA","Đã tốt nghiệp"
"20A137165","Vũ Ngọc Hương","0","2001-07-23","Q.10, TP.HCM","0917146618","CNTT","Đã thôi học"
"20A991249","Trần Văn Linh","1","2006-02-20","Q.5, TP.HCM","0498546751","VATLY","Đã thôi học"
"20A143318","Vũ Văn Quân","1","2006-04-21","TP. Thủ Đức","0588826657","CNTT","Đang học"
"20A936345","Đặng Anh Khánh","1","2004-02-09","Q.1, TP.HCM","0635911480","CNTT","Bảo lưu kết quả học tập"
"20A421801","Đặng Văn Dũng","0","2005-09-03","TP. Cần Thơ","0384579827","HOA","Đang học"
"20A454412","Trần Anh Hà","0","2003-08-01","Q.3, TP.HCM","0823528625","VATLY","Đã tốt nghiệp"
"20A624582","Hoàng Hữu Hương","1","2005-11-29","Q.10, TP.HCM","0863043879","CNTT","Đã tốt nghiệp"
"20A339137","Phan Thị Hương","0","2005-11-19","Q.10, TP.HCM","0281635074","SINH","Đã thôi học"
"20A178758","Vũ Anh Vy","0","2006-11-27","TP. Cần Thơ","0737137621","CNTT","Bảo lưu kết quả học tập"
"20A552069","Hoàng Hữu Hà","1","2006-10-24","TP. Thủ Đức","0809996961","CNTT","Đã thôi học"
"20A672845","Trần Thị Quân","1","2003-05-12","TP. Cần Thơ","0594950864","HOA","Đã tốt nghiệp"
"20A453401","Bùi Gia Quân","0","2000-09-10","Q.5, TP.HCM","0762408544","CNTT","Đang học"
"20A827448","Nguyễn Ngọc Trang","1","2001-12-11","TP. Đà Nẵng","0289830108","SINH","Đã tốt nghiệp"
"20A250874","Bùi Văn Hương","0","2006-11-06","Q.5, TP.HCM","0330631902","TOAN","Đã thôi học"
"20A974147","Phan Hữu Bình","1","2001-02-03","Q.10, TP.HCM","0157430123","HOA","Đang học"
"20A402902","Lê Văn Bình","0","2002-04-17","TP. Biên Hòa","0834129739","SINH","Đã thôi học"
"20A424220","Đặng Ngọc Hương","1","2006-01-11","TP. Biên Hòa","0599450845","SINH","Đang học"
"20A105874","Phạm Ngọc Hà","1","2002-08-10","Q.1, TP.HCM","0318888237","CNTT","Đang học"
"20A914741","Nguyễn Anh Quân","1","2000-12-21","TP. Hà Nội","0981276783","TOAN","Bảo lưu kết quả học tập"
"20A382468","Phạm Ngọc Quân","0","2002-03-13","Q.10, TP.HCM","0233744504","KHKT","Đã thôi học"
"20A139283","Trần Anh Trang","0","2000-05-18","Q.5, TP.HCM","0270988281","KHKT","Đã thôi học"
"20A810190","Lê Hữu Châu","0","2004-01-25","TP. Đà Nẵng","0653850372","SINH","Đang học"
"20A501203","Phạm Thị Quân","1","2000-08-10","Q.1, TP.HCM","0823382410","SINH","Đã thôi học"
"20A732545","Phạm Gia Vy","1","2002-06-13","Q.1, TP.HCM","0735905402","HOA","Đang học"
"20A644147","Đặng Gia Dũng","0","2003-06-03","TP. Biên Hòa","0111527229","KHKT","Bảo lưu kết quả học tập"
"20A439317","Phan Hữu Tú","1","2002-10-19","TP. Đà Nẵng","0299133875","SINH","Đã tốt nghiệp"
"20A953333","Lê Ngọc Bình","0","2005-08-25","TP. Đà Nẵng","0652121818","KHKT","Bảo lưu kết quả học tập"
"20A695990","Phạm Văn Phúc","0","2002-12-30","Q.1, TP.HCM","0138728648","HOA","Bảo lưu kết quả học tập"
"20A408719","Nguyễn Thị Trang","0","2005-02-28","Q.3, TP.HCM","0250464046","SINH","Đang học"
"20A656732","Vũ Anh Vy","0","2005-10-15","TP. Hà Nội","0868980160","CNTT","Đang học"
"20A626787","Đặng Thị Tú","1","2000-08-14","TP. Cần Thơ","0848459292","SINH","Đã thôi học"
"20A165301","Đặng Hữu Khánh","1","2002-04-10","TP. Vũng Tàu","0743411848","VATLY","Đang học"
"20A273400","Trần Văn Khánh","0","2005-03-16","Q.3, TP.HCM","0776692288","HOA","Bảo lưu kết quả học tập"
"20A355151","Đặng Gia Trang","0","2000-12-09","TP. Biên Hòa","0745908878","TOAN","Đã thôi học"
"20A187549","Trần Thị Bình","1","2006-06-25","Q.10, TP.HCM","0623155620","CNTT","Bảo lưu kết quả học tập"
"20A704656","Bùi Anh Vy","0","2004-01-03","TP. Hà Nội","0551796981","HOA","Đang học"
"20A342103","Lê Ngọc Phúc","1","2006-11-12","Q.5, TP.HCM","0402549835","TOAN","Đang học"
"20A505299","Phạm Ngọc Châu","0","2003-08-30","TP. Thủ Đức","0520812507","TOAN","Đang học"
"20A889877","Trần Gia An","1","2006-02-25","Q.5, TP.HCM","0126637022","KHKT","Bảo lưu kết quả học tập"
"20A853682","Nguyễn Anh Khánh","1","2004-07-18","TP. Thủ Đức","0668525655","KHKT","Bảo lưu kết quả học tập"
"20A209306","Phạm Minh Hà","1","2004-11-28","Q.1, TP.HCM","0197236612","CNTT","Đã tốt nghiệp"
"20A127468","Hoàng Thị Tú","0","2006-02-11","Q.1, TP.HCM","0922314813","TOAN","Đang học"
"20A169704","Phạm Gia Châu","0","2001-12-08","TP. Đà Nẵng","0916997182","CNTT","Đã thôi học"
"20A376133","Trần Thị Hương","1","2005-02-24","TP. Biên Hòa","0184509769","VATLY","Đã tốt nghiệp"
"20A159841","Đặng Văn Khánh","1","2002-09-25","TP. Biên Hòa","0436588305","CNTT","Bảo lưu kết quả học tập"
"20A377633","Nguyễn Thị Linh","1","2000-08-17","TP. Vũng Tàu","0653807066","HOA","Bảo lưu kết quả học tập"
"20A463512","Phạm Anh Bình","1","2006-08-03","TP. Hà Nội","0954665978","VATLY","Đã tốt nghiệp"
"20A432815","Đặng Minh Linh","0","2004-10-13","TP. Cần Thơ","0569419951","CNTT","Bảo lưu kết quả học tập"
"20A831603","Lê Minh Quân","1","2000-08-06","Q.3, TP.HCM","0868475458","KHKT","Đang học"
"20A692829","Phan Ngọc Khánh","1","2001-07-06","Q.5, TP.HCM","0519614945","TOAN","Đã tốt nghiệp"
"20A261064","Nguyễn Minh Tú","1","2001-11-25","TP. Vũng Tàu","0693310271","SINH","Đang học"
"20A307677","Phạm Minh Phúc","0","2003-04-11","TP. Vũng Tàu","0190507633","HOA","Đã tốt nghiệp"
"20A147306","Trần Hữu Vy","0","2006-07-29","TP. Đà Nẵng","0662945418","TOAN","Đã thôi học"
"20A368784","Lê Văn Nam","1","2005-10-16","Q.5, TP.HCM","0804721762","CNTT","Đã thôi học"
"20A708905","Đặng Thị Dũng","1","2002-07-24","TP. Cần Thơ","0161370417","CNTT","Bảo lưu kết quả học tập"
"20A372541","Bùi Ngọc Hương","0","2004-03-28","TP. Thủ Đức","0297341115","TOAN","Đã thôi học"
"20A626922","Đặng Văn Khánh","0","2002-10-10","TP. Thủ Đức","0512769550","KHKT","Đã thôi học"
"20A759387","Bùi Minh Phúc","1","2002-01-05","Q.3, TP.HCM","0720219331","HOA","Đang học"
"20A802731","Lê Hữu Châu","0","2001-04-02","TP. Cần Thơ","0636548583","SINH","Đã thôi học"
"20A133469","Bùi Thị Trang","1","2005-11-16","TP. Cần Thơ","0169099456","TOAN","Đã tốt nghiệp"
"20A356121","Đặng Thị Bình","1","2001-03-27","TP. Hà Nội","0990339944","VATLY","Đã thôi học"
"20A732898","Phan Anh Khánh","1","2003-05-19","TP. Thủ Đức","0740951114","CNTT","Bảo lưu kết quả học tập"
"20A749080","Trần Văn Vy","1","2006-02-02","TP. Cần Thơ","0799547129","CNTT","Đang học"
"20A147741","Hoàng Thị Nam","1","2001-12-17","Q.3, TP.HCM","0148068715","CNTT","Đã thôi học"
"20A549207","Phan Văn Châu","1","2005-11-11","TP. Hà Nội","0584240383","SINH","Đã tốt nghiệp"
"20A368369","Đặng Anh Bình","1","2004-09-25","TP. Vũng Tàu","0783944628","HOA","Đã tốt nghiệp"
"20A588861","Bùi Gia Trang","0","2007-04-02","Q.10, TP.HCM","0159957132","SINH","Đã thôi học"
"20A382023","Đặng Anh Nam","0","2001-04-27","TP. Cần Thơ","0863414247","SINH","Đang học"
"20A240738","Vũ Văn Nam","0","2002-08-18","Q.5, TP.HCM","0234249718","KHKT","Bảo lưu kết quả học tập"
"20A671343","Vũ Thị Khánh","0","2001-02-24","Q.5, TP.HCM","0804083979","KHKT","Đã tốt nghiệp"
"20A337530","Phạm Thị Tú","1","2004-11-30","Q.3, TP.HCM","0786606149","TOAN","Đã tốt nghiệp"
"20A599378","Bùi Anh Nam","1","2004-08-18","Q.1, TP.HCM","0739486692","KHKT","Đã tốt nghiệp"
"20A786114","Bùi Hữu Tú","1","2007-03-09","Q.5, TP.HCM","0364960508","KHKT","Đã tốt nghiệp"
"20A397998","Phạm Thị Châu","1","2001-02-13","TP. Vũng Tàu","0471709937","SINH","Đã tốt nghiệp"
"20A109069","Trần Hữu Dũng","0","2006-10-28","TP. Hà Nội","0611555196","VATLY","Bảo lưu kết quả học tập"
"20A449077","Bùi Hữu Quân","1","2003-11-25","TP. Đà Nẵng","0963187916","SINH","Bảo lưu kết quả học tập"
"20A673571","Lê Minh Linh","1","2004-11-19","TP. Cần Thơ","0173211966","SINH","Bảo lưu kết quả học tập"
"20A943332","Lê Anh Linh","1","2006-07-10","TP. Đà Nẵng","0428547341","HOA","Đã thôi học"
"20A305087","Vũ Ngọc Quân","1","2001-12-18","Q.3, TP.HCM","0785931547","SINH","Đã thôi học"
"20A374851","Bùi Minh Khánh","1","2007-02-09","Q.3, TP.HCM","0789864671","SINH","Đã thôi học"
"20A153260","Phan Thị Hương","1","2003-02-17","TP. Cần Thơ","0329954891","TOAN","Bảo lưu kết quả học tập"
"20A878505","Nguyễn Ngọc Bình","1","2004-08-24","TP. Vũng Tàu","0166277391","KHKT","Đang học"
"20A894801","Trần Hữu Phúc","0","2002-09-30","TP. Cần Thơ","0385637769","HOA","Đang học"
"20A912133","Vũ Thị Bình","0","2003-12-01","TP. Vũng Tàu","0422971366","SINH","Đang học"
"20A187741","Bùi Văn An","1","2003-01-14","TP. Thủ Đức","0318721738","TOAN","Đã thôi học"
"20A248994","Vũ Anh Dũng","0","2003-06-18","TP. Biên Hòa","0571582679","HOA","Đã tốt nghiệp"
"20A958951","Phạm Minh Vy","0","2005-02-02","TP. Biên Hòa","0945482046","SINH","Đã tốt nghiệp"
"20A545849","Phạm Hữu Nam","0","2001-10-15","TP. Đà Nẵng","0220465556","CNTT","Đã tốt nghiệp"
"20A434446","Đặng Ngọc Hương","0","2004-09-20","Q.1, TP.HCM","0692447921","SINH","Đã tốt nghiệp"
"20A176921","Hoàng Thị An","1","2002-10-07","Q.3, TP.HCM","0831150423","KHKT","Đã thôi học"
"20A143054","Nguyễn Văn Tú","0","2006-04-28","TP. Biên Hòa","0208226690","TOAN","Đang học"
"20A955394","Trần Hữu Châu","0","2004-04-24","TP. Đà Nẵng","0623764032","VATLY","Đã thôi học"
"20A224884","Bùi Gia Hương","0","2006-01-26","TP. Vũng Tàu","0817182775","VATLY","Đang học"
"20A333486","Vũ Minh Trang","1","2006-02-07","TP. Hà Nội","0365332359","HOA","Đã thôi học"
"20A793289","Lê Văn Trang","0","2002-08-24","Q.5, TP.HCM","0741250852","VATLY","Đã thôi học"
"20A550885","Vũ Anh Quân","1","2001-06-30","TP. Cần Thơ","0486108933","HOA","Đã tốt nghiệp"
"20A559292","Trần Gia Phúc","1","2004-01-08","TP. Biên Hòa","0868529292","KHKT","Đang học"
"20A447097","Lê Gia Dũng","0","2003-07-05","TP. Hà Nội","0698653181","SINH","Đã thôi học"
"20A321301","Đặng Minh Khánh","0","2001-02-26","TP. Biên Hòa","0394643616","TOAN","Đã thôi học"
"20A469039","Trần Gia Linh","0","2000-11-13","Q.10, TP.HCM","0524366262","HOA","Đang học"
"20A461344","Phạm Gia Vy","0","2001-05-26","Q.10, TP.HCM","0110627816","KHKT","Bảo lưu kết quả học tập"
"20A300442","Lê Văn Tú","1","2001-08-18","TP. Biên Hòa","0484035614","TOAN","Đã tốt nghiệp"
"20A661668","Trần Minh Phúc","0","2000-08-17","TP. Biên Hòa","0198443040","CNTT","Bảo lưu kết quả học tập"
"20A926660","Phạm Gia Tú","0","2007-01-27","TP. Biên Hòa","0294490552","SINH","Đã tốt nghiệp"
"20A746994","Trần Hữu An","0","2000-07-16","TP. Thủ Đức","0827620178","TOAN","Bảo lưu kết quả học tập"
"20A550660","Trần Ngọc An","0","2000-11-09","TP. Biên Hòa","0991649025","KHKT","Đang học"
"20A833931","Phạm Minh Châu","1","2000-12-28","Q.3, TP.HCM","0237443945","SINH","Đã thôi học"
"20A356612","Bùi Minh Khánh","0","2003-12-20","TP. Hà Nội","0359189874","HOA","Bảo lưu kết quả học tập"
"20A929247","Phan Hữu Hà","1","2001-03-06","TP. Đà Nẵng","0232896593","TOAN","Bảo lưu kết quả học tập"
"20A583857","Trần Anh Hà","1","2001-08-26","TP. Thủ Đức","0848674362","KHKT","Đang học"
"20A322610","Vũ Minh Hương","0","2005-06-16","TP. Cần Thơ","0100007151","KHKT","Đã thôi học"
"20A872528","Trần Gia Dũng","0","2003-01-16","Q.5, TP.HCM","0806969129","KHKT","Đã tốt nghiệp"
"20A666409","Lê Hữu Nam","1","2000-04-23","TP. Thủ Đức","0692869383","VATLY","Bảo lưu kết quả học tập"
"20A409815","Phan Gia Trang","0","2001-02-06","TP. Vũng Tàu","0420002560","HOA","Đã tốt nghiệp"
"20A410395","Phan Văn Dũng","0","2000-05-14","Q.3, TP.HCM","0372120467","CNTT","Đã thôi học"
"20A403627","Nguyễn Thị Linh","0","2005-01-29","Q.1, TP.HCM","0653161666","CNTT","Đã tốt nghiệp"
"20A452753","Phan Hữu Linh","0","2004-07-12","TP. Cần Thơ","0347338382","KHKT","Bảo lưu kết quả học tập"
"20A244005","Trần Ngọc Phúc","1","2001-02-22","TP. Thủ Đức","0260571235","HOA","Đang học"
"20A179080","Phan Thị Châu","0","2005-10-29","Q.1, TP.HCM","0213593434","CNTT","Bảo lưu kết quả học tập"
"20A672489","Bùi Ngọc Hà","0","2002-10-13","TP. Biên Hòa","0690747067","KHKT","Đã tốt nghiệp"
"20A631238","Lê Ngọc Nam","0","2000-08-30","TP. Thủ Đức","0115490678","VATLY","Đã tốt nghiệp"
"20A332266","Phạm Văn Hà","0","2003-04-23","TP. Thủ Đức","0269233172","CNTT","Đã thôi học"
"20A303709","Trần Minh Vy","0","2001-01-12","TP. Cần Thơ","0765637171","KHKT","Đang học"
"20A439799","Bùi Gia Quân","0","2004-05-03","Q.1, TP.HCM","0786827630","CNTT","Đang học"
"20A611624","Nguyễn Thị An","1","2005-02-22","Q.1, TP.HCM","0843427998","VATLY","Đã tốt nghiệp"
"20A890758","Đặng Gia Khánh","1","2006-05-09","TP. Biên Hòa","0964151342","TOAN","Bảo lưu kết quả học tập"
"20A285884","Lê Văn Nam","0","2001-08-01","TP. Vũng Tàu","0268473129","HOA","Đang học"
"20A509782","Phạm Thị Trang","0","2006-03-25","Q.5, TP.HCM","0693581867","CNTT","Đã tốt nghiệp"
"20A604709","Lê Ngọc Trang","0","2000-07-21","TP. Đà Nẵng","0549725950","HOA","Bảo lưu kết quả học tập"
"20A207183","Nguyễn Ngọc Dũng","1","2000-11-25","Q.10, TP.HCM","0369382575","TOAN","Đã tốt nghiệp"
"20A704468","Trần Hữu Khánh","1","2002-10-10","Q.5, TP.HCM","0853089535","TOAN","Đang học"
"20A870238","Nguyễn Hữu Khánh","1","2004-04-04","Q.1, TP.HCM","0178215173","SINH","Đang học"
"20A309869","Bùi Hữu Dũng","0","2002-09-22","TP. Hà Nội","0481832544","VATLY","Đang học"
"20A356765","Trần Văn An","1","2003-05-01","Q.1, TP.HCM","0560888943","KHKT","Đã thôi học"
"20A772941","Hoàng Anh Châu","1","2005-11-14","TP. Vũng Tàu","0994100335","KHKT","Đã thôi học"
"20A411239","Trần Gia Tú","0","2002-12-31","TP. Thủ Đức","0806411057","HOA","Đã tốt nghiệp"
"20A622817","Phạm Gia Tú","1","2002-09-17","TP. Hà Nội","0215446925","VATLY","Bảo lưu kết quả học tập"
"20A707186","Vũ Ngọc Phúc","1","2003-08-30","TP. Vũng Tàu","0514593331","TOAN","Bảo lưu kết quả học tập"
"20A922445","Nguyễn Văn Quân","0","2001-03-29","Q.1, TP.HCM","0788792960","KHKT","Đang học"
"20A620587","Bùi Gia Hà","0","2001-03-16","Q.10, TP.HCM","0681201706","SINH","Đang học"
"20A755769","Hoàng Ngọc Quân","0","2001-03-01","Q.10, TP.HCM","0452496404","KHKT","Đã thôi học"
"20A219194","Vũ Minh Khánh","1","2001-02-21","Q.1, TP.HCM","0230778226","SINH","Bảo lưu kết quả học tập"
"20A500257","Phan Minh Hà","1","2003-02-17","TP. Hà Nội","0709933409","VATLY","Đã tốt nghiệp"
